Gen,MeanFit,StdFit,MaxFit
0,-127.093,+0.454,-125.953
1,-127.684,+5.261,-125.732
2,-127.648,+3.433,-126.052
3,-127.711,+4.159,-125.831
4,-127.973,+6.073,-125.019
5,-128.031,+7.116,-114.414
6,-129.618,+9.794,-114.649
7,-132.045,+14.898,-89.009
8,-134.735,+20.509,-86.686
9,-138.084,+24.482,-73.636
10,-133.118,+26.264,-74.168
11,-130.590,+24.019,-70.772
12,-127.359,+27.604,-65.172
13,-126.808,+30.904,-56.065
14,-121.471,+32.899,-41.048
15,-124.032,+33.466,-42.577
16,-119.065,+30.862,-38.680
17,-116.304,+32.704,-44.073
18,-113.853,+36.966,+9.075
19,-122.504,+72.634,+4.832
20,-109.529,+39.146,-5.907
21,-233.161,+1213.813,+1.938
22,-199.831,+951.478,+7.103
23,-111.641,+99.505,+12.198
24,-93.944,+47.926,+5.261
25,-95.223,+50.688,+2.737
26,-88.377,+53.589,+26.544
27,-87.397,+54.803,+13.905
28,-86.971,+58.251,+26.182
29,-76.598,+55.409,+18.367
30,-101.042,+222.451,+22.119
31,-78.391,+60.920,+22.596
32,-68.619,+55.049,+23.084
33,-76.313,+58.739,+26.058
34,-75.493,+58.601,+27.838
35,-130.891,+427.793,+26.144
36,-79.349,+61.653,+31.034
37,-83.316,+59.703,+24.583
38,-89.705,+63.346,+25.143
39,-86.153,+70.525,+26.112
40,-87.945,+63.158,+28.025
41,-81.392,+62.855,+24.351
42,-84.514,+67.651,+24.612
43,-78.840,+61.065,+29.498
44,-72.906,+62.173,+24.446
45,-79.947,+67.920,+26.743
46,-80.185,+64.635,+25.935
47,-84.803,+67.864,+27.953
48,-81.674,+67.383,+28.533
49,-74.211,+64.744,+28.212
50,-75.193,+65.376,+29.244
51,-92.090,+72.188,+31.946
52,-76.501,+66.088,+44.978
53,-69.820,+65.486,+40.183
54,-121.519,+345.832,+49.330
55,-78.325,+65.680,+37.392
56,-78.200,+68.035,+36.134
57,-73.059,+64.645,+69.590
58,-77.700,+65.725,+42.879
59,-69.730,+64.218,+41.262
60,-71.682,+63.932,+33.025
61,-84.114,+64.832,+30.488
62,-75.159,+65.894,+34.365
63,-73.851,+70.662,+36.868
64,-81.138,+68.009,+34.046
65,-74.343,+68.802,+43.958
66,-77.960,+69.274,+33.832
67,-68.948,+66.091,+47.061
68,-85.904,+71.756,+30.454
69,-75.910,+70.807,+41.649
70,-75.462,+68.824,+31.213
71,-77.620,+71.325,+36.687
72,-90.568,+103.395,+36.371
73,-82.276,+67.797,+37.164
74,-73.789,+67.254,+35.505
75,-86.114,+68.569,+34.206
76,-70.383,+65.435,+39.472
77,-77.925,+70.498,+44.767
78,-89.547,+70.935,+34.687
79,-76.129,+68.749,+36.786
80,-76.014,+67.388,+38.796
81,-79.768,+65.878,+42.778
82,-73.026,+68.492,+41.215
83,-83.580,+75.306,+36.956
84,-81.370,+66.881,+31.695
85,-80.392,+70.978,+36.369
86,-68.388,+67.962,+40.962
87,-86.237,+71.971,+35.873
88,-73.384,+69.677,+42.194
89,-79.949,+71.670,+41.455
90,-79.636,+74.288,+50.336
91,-75.490,+69.586,+37.691
92,-74.719,+68.061,+43.515
93,-71.769,+67.052,+41.766
94,-77.538,+71.938,+35.180
95,-75.197,+66.656,+36.863
96,-84.307,+70.324,+41.440
97,-68.339,+71.127,+39.753
98,-74.153,+67.330,+36.501
99,-74.295,+68.698,+45.671
100,-70.077,+70.593,+51.486
101,-81.197,+70.177,+62.275
102,-77.176,+65.252,+38.432
103,-77.336,+73.688,+56.249
104,-77.133,+72.019,+43.746
105,-77.103,+70.487,+53.490
106,-75.667,+70.146,+57.816
107,-74.897,+65.036,+67.205
108,-71.912,+70.408,+54.256
109,-76.808,+69.798,+52.605
110,-74.140,+70.303,+45.995
111,-75.654,+68.059,+59.303
112,-75.957,+75.405,+58.474
113,-74.090,+67.602,+60.461
114,-74.145,+71.473,+44.622
115,-78.084,+70.964,+58.457
116,-73.646,+76.708,+85.386
117,-74.727,+71.898,+69.424
118,-70.630,+73.328,+87.419
119,-80.603,+74.443,+73.787
120,-62.751,+70.541,+62.295
121,-70.605,+82.286,+63.155
122,-73.657,+72.265,+73.340
123,-74.535,+75.152,+63.260
124,-73.772,+73.161,+59.542
125,-70.220,+70.813,+67.506
126,-77.963,+71.461,+49.208
127,-77.611,+76.267,+83.467
128,-73.882,+76.035,+67.821
129,-81.440,+106.665,+70.580
130,-75.808,+72.990,+73.921
131,-72.367,+72.358,+76.595
132,-75.204,+83.291,+63.446
133,-74.322,+70.455,+57.127
134,-72.644,+73.570,+73.504
135,-65.467,+68.100,+75.413
136,-77.798,+73.019,+50.827
137,-74.905,+72.214,+46.847
138,-73.854,+70.556,+66.738
139,-77.539,+71.888,+50.747
140,-67.838,+70.484,+66.708
141,-72.951,+71.868,+52.471
142,-65.429,+71.134,+59.535
143,-69.804,+71.019,+51.732
144,-74.442,+70.694,+50.280
145,-72.757,+70.923,+83.873
146,-106.565,+397.253,+72.669
147,-75.296,+77.715,+83.160
148,-65.432,+72.027,+62.450
149,-66.211,+75.067,+68.482
150,-69.475,+73.268,+51.759
151,-66.813,+72.372,+63.699
152,-71.539,+71.539,+73.921
153,-65.551,+69.766,+57.396
154,-79.871,+77.236,+63.364
155,-64.978,+68.571,+51.322
156,-72.314,+73.534,+67.284
157,-71.188,+70.828,+53.246
158,-71.591,+70.679,+77.110
159,-66.023,+72.000,+61.820
160,-76.150,+75.599,+58.692
161,-67.076,+73.398,+57.096
162,-71.264,+74.320,+62.838
163,-65.068,+71.002,+85.466
164,-70.777,+72.881,+71.408
165,-60.670,+73.280,+107.573
166,-66.734,+71.989,+61.931
167,-68.153,+68.394,+64.641
168,-64.946,+75.079,+75.646
169,-64.991,+72.831,+72.898
170,-71.968,+72.741,+70.361
171,-58.938,+69.523,+71.087
172,-71.035,+71.620,+85.103
173,-95.261,+189.754,+55.999
174,-68.461,+75.225,+94.489
175,-73.709,+78.143,+74.922
176,-58.383,+70.683,+66.725
177,-84.143,+81.149,+115.492
178,-64.428,+72.544,+91.627
179,-68.521,+72.076,+80.699
180,-72.810,+69.534,+49.141
181,-65.693,+73.538,+73.241
182,-71.278,+73.694,+64.258
183,-60.783,+68.352,+76.831
184,-60.204,+77.364,+87.719
185,-66.404,+74.697,+72.929
186,-71.140,+73.666,+79.688
187,-67.990,+72.852,+70.688
188,-63.663,+75.415,+89.981
189,-65.161,+75.291,+95.876
190,-72.531,+95.091,+75.525
191,-67.924,+87.269,+92.269
192,-68.113,+70.848,+66.692
193,-68.984,+73.870,+79.513
194,-65.018,+73.774,+83.320
195,-61.449,+76.363,+92.993
196,-55.233,+70.782,+88.640
197,-69.924,+74.223,+61.789
198,-63.834,+71.628,+60.616
199,-65.875,+75.521,+82.342
200,-63.779,+77.187,+67.754
201,-69.092,+74.279,+78.395
202,-70.373,+74.951,+66.499
203,-60.614,+79.361,+63.149
204,-87.725,+177.540,+89.937
205,-64.658,+69.218,+96.711
206,-60.066,+77.190,+78.428
207,-66.066,+71.454,+71.092
208,-70.101,+86.612,+75.353
209,-66.270,+73.657,+78.223
210,-77.001,+91.359,+88.464
211,-59.981,+72.252,+56.519
212,-67.766,+73.559,+85.288
213,-62.718,+73.587,+59.163
214,-76.866,+78.508,+73.225
215,-67.318,+72.273,+94.032
216,-77.747,+80.769,+55.551
217,-67.924,+71.672,+72.871
218,-58.223,+73.872,+61.430
219,-80.856,+126.499,+76.722
220,-56.695,+66.774,+46.176
221,-69.955,+73.111,+88.379
222,-68.469,+73.786,+85.590
223,-70.154,+75.478,+85.005
224,-73.014,+162.483,+73.454
225,-66.452,+76.553,+58.247
226,-71.443,+74.021,+65.272
227,-68.221,+71.588,+61.789
228,-63.198,+71.120,+79.788
229,-64.448,+71.363,+53.594
230,-64.925,+69.869,+79.466
231,-64.923,+71.214,+70.000
232,-67.030,+74.879,+54.439
233,-66.381,+75.755,+47.949
234,-70.703,+77.948,+65.409
235,-62.255,+73.905,+64.449
236,-61.997,+70.039,+56.977
237,-52.126,+69.896,+66.330
238,-63.873,+73.906,+61.252
239,-61.670,+69.462,+47.749
240,-72.200,+75.206,+54.791
241,-170.566,+982.393,+48.285
242,-57.720,+71.856,+58.167
243,-67.203,+73.510,+60.526
244,-63.375,+75.996,+74.876
245,-69.842,+122.536,+54.217
246,-59.012,+68.726,+51.926
247,-79.140,+133.860,+61.980
248,-75.294,+95.385,+66.007
249,-67.024,+72.663,+69.637
250,-73.466,+69.486,+57.781
251,-66.837,+74.653,+69.684
252,-104.524,+366.685,+61.881
253,-67.755,+74.659,+55.910
254,-63.976,+70.353,+76.321
255,-62.607,+73.152,+69.686
256,-59.441,+68.143,+54.306
257,-68.434,+71.781,+57.647
258,-64.176,+71.888,+65.726
259,-69.956,+68.567,+61.106
260,-75.613,+75.076,+56.446
261,-70.624,+83.096,+62.753
262,-62.260,+75.722,+77.670
263,-63.282,+74.983,+70.785
264,-66.791,+75.139,+57.971
265,-62.742,+77.915,+101.534
266,-62.088,+72.524,+61.877
267,-70.093,+70.880,+67.294
268,-67.220,+75.535,+65.163
269,-68.990,+71.433,+53.954
270,-77.173,+77.689,+56.469
271,-69.532,+74.433,+56.067
272,-66.017,+70.607,+62.373
273,-56.885,+71.620,+66.063
274,-66.377,+72.041,+51.642
275,-69.239,+113.253,+62.386
276,-67.695,+72.082,+65.289
277,-70.804,+73.603,+73.610
278,-61.910,+70.534,+54.521
279,-73.000,+73.008,+61.171
280,-65.361,+73.668,+56.901
281,-64.456,+75.112,+59.707
282,-66.362,+73.766,+78.053
283,-60.479,+71.660,+69.380
284,-70.554,+72.663,+79.151
285,-70.755,+77.957,+68.171
286,-60.515,+72.902,+86.670
287,-71.145,+72.807,+78.948
288,-69.148,+81.283,+64.460
289,-67.489,+75.564,+82.713
290,-70.188,+78.117,+89.444
291,-66.905,+84.986,+88.414
292,-59.725,+72.319,+64.412
293,-65.871,+77.543,+54.162
294,-66.132,+74.559,+76.256
295,-71.224,+77.254,+74.240
296,-56.351,+72.280,+63.481
297,-59.578,+71.430,+69.560
298,-64.303,+74.336,+66.193
299,-61.070,+75.125,+69.493
300,-59.226,+75.859,+65.198
301,-65.692,+75.215,+72.013
302,-70.655,+72.195,+83.313
303,-56.478,+71.130,+62.735
304,-53.821,+72.556,+66.273
305,-66.168,+74.847,+86.776
306,-68.464,+75.003,+67.283
307,-59.334,+71.773,+58.024
308,-61.459,+73.803,+80.398
309,-70.484,+78.572,+98.634
310,-61.818,+76.246,+120.389
311,-70.107,+76.424,+99.643
312,-65.525,+74.372,+85.402
313,-63.821,+75.200,+134.082
314,-57.979,+75.177,+127.222
315,-65.376,+75.803,+118.336
316,-57.826,+77.611,+157.432
317,-64.529,+75.975,+143.151
318,-70.109,+77.089,+133.198
319,-66.745,+75.963,+132.873
320,-63.476,+77.516,+116.049
321,-74.182,+78.224,+133.875
322,-59.395,+77.558,+119.982
323,-60.341,+75.631,+119.078
324,-64.167,+73.503,+100.489
325,-85.191,+181.782,+116.082
326,-62.132,+73.958,+131.710
327,-66.758,+74.269,+115.765
328,-65.903,+70.731,+132.934
329,-57.156,+77.615,+122.327
330,-59.653,+75.204,+119.540
331,-54.496,+71.810,+133.846
332,-61.072,+78.716,+116.124
333,-63.228,+76.789,+118.962
334,-77.620,+209.158,+115.473
335,-47.528,+70.069,+134.098
336,-65.401,+80.663,+92.546
337,-71.458,+84.394,+88.500
338,-60.507,+78.416,+113.486
339,-62.777,+77.367,+135.718
340,-69.145,+75.999,+116.800
341,-62.598,+74.195,+111.901
342,-61.989,+78.060,+128.361
343,-65.420,+74.833,+102.150
344,-57.867,+79.304,+105.625
345,-66.851,+75.952,+109.985
346,-53.885,+80.128,+118.174
347,-60.040,+73.339,+118.910
348,-66.021,+77.505,+144.062
349,-55.801,+73.913,+105.031
350,-60.041,+74.392,+112.227
351,-63.397,+79.164,+120.976
352,-62.448,+76.331,+125.774
353,-57.492,+75.121,+141.934
354,-63.102,+75.343,+119.553
355,-54.449,+71.044,+124.505
356,-56.941,+74.744,+116.070
357,-64.184,+75.548,+86.256
358,-58.614,+75.772,+144.487
359,-53.195,+73.713,+106.957
360,-57.564,+75.011,+112.393
361,-56.979,+72.253,+115.894
362,-77.578,+76.334,+89.562
363,-70.571,+88.801,+101.322
364,-59.764,+75.891,+110.449
365,-53.736,+70.111,+130.805
366,-67.243,+77.886,+90.360
367,-72.399,+76.870,+104.071
368,-75.311,+78.739,+105.191
369,-67.583,+77.801,+118.058
370,-61.673,+76.606,+98.367
371,-58.753,+73.708,+116.624
372,-63.937,+76.549,+108.811
373,-60.692,+76.752,+124.701
374,-53.472,+76.307,+94.151
375,-58.547,+94.359,+115.330
376,-56.646,+74.565,+128.437
377,-59.854,+75.214,+134.773
378,-55.669,+72.094,+63.775
379,-61.450,+74.977,+116.441
380,-66.788,+76.893,+117.430
381,-62.295,+76.925,+108.042
382,-57.224,+76.116,+140.664
383,-58.735,+81.086,+117.211
384,-46.405,+76.773,+97.944
385,-47.350,+75.057,+129.571
386,-54.674,+84.268,+92.504
387,-58.956,+84.052,+122.767
388,-43.589,+74.165,+121.172
389,-58.588,+79.628,+120.721
390,-54.599,+76.543,+109.528
391,-57.883,+77.573,+121.271
392,-62.813,+80.536,+121.782
393,-50.549,+75.832,+113.279
394,-51.758,+76.938,+112.544
395,-51.423,+76.788,+122.317
396,-57.132,+79.328,+138.095
397,-44.059,+77.684,+109.876
398,-61.500,+83.265,+120.894
399,-44.947,+75.440,+142.826
400,-47.293,+82.249,+87.292
401,-44.497,+75.748,+108.425
402,-49.719,+78.667,+111.824
403,-55.150,+84.166,+94.837
404,-50.260,+84.483,+139.403
405,-53.276,+81.571,+112.546
406,-56.910,+119.777,+90.261
407,-40.762,+77.498,+124.488
408,-48.150,+89.379,+114.910
409,-46.690,+77.428,+82.250
410,-48.604,+82.357,+109.006
411,-47.974,+81.118,+141.766
412,-43.893,+79.729,+105.625
413,-47.754,+81.422,+110.563
414,-46.938,+83.180,+90.385
415,-84.092,+381.851,+71.759
416,-49.259,+85.393,+121.675
417,-44.262,+83.273,+128.193
418,-45.666,+79.071,+106.896
419,-42.556,+82.645,+107.628
420,-48.772,+81.550,+74.941
421,-62.208,+88.330,+117.474
422,-56.542,+86.631,+132.173
423,-66.499,+130.156,+109.665
424,-62.149,+99.669,+122.625
425,-33.982,+71.123,+73.570
426,-59.451,+91.415,+121.431
427,-38.442,+77.694,+108.042
428,-53.277,+91.787,+110.992
429,-48.276,+81.088,+111.801
430,-54.606,+87.737,+104.139
431,-47.700,+84.530,+114.870
432,-47.084,+88.547,+81.762
433,-46.724,+94.773,+131.400
434,-40.910,+84.686,+116.354
435,-45.354,+86.327,+133.309
436,-37.695,+78.807,+131.578
437,-43.425,+82.125,+106.139
438,-38.303,+81.566,+107.929
439,-47.002,+94.852,+117.163
440,-48.982,+83.913,+90.587
441,-49.964,+89.650,+120.169
442,-40.265,+91.893,+115.104
443,-42.489,+87.249,+119.406
444,-54.893,+92.725,+116.633
445,-42.268,+85.670,+110.217
446,-45.323,+94.950,+129.502
447,-50.473,+81.379,+116.813
448,-47.307,+98.159,+128.945
449,-43.841,+91.141,+132.095
450,-45.938,+86.708,+120.590
451,-37.828,+79.215,+113.706
452,-44.565,+86.732,+130.440
453,-44.949,+85.345,+129.755
454,-44.769,+97.304,+110.040
455,-46.630,+87.633,+129.510
456,-42.611,+86.602,+142.324
457,-47.055,+89.181,+108.528
458,-41.944,+81.098,+109.354
459,-41.321,+86.585,+128.457
460,-50.149,+86.502,+114.663
461,-63.376,+132.575,+118.103
462,-43.258,+84.744,+127.175
463,-50.487,+96.609,+122.674
464,-39.759,+83.124,+119.434
465,-42.959,+90.178,+115.607
466,-41.622,+85.468,+135.394
467,-48.573,+86.149,+116.100
468,-47.762,+86.350,+116.508
469,-52.939,+93.199,+130.559
470,-44.291,+86.848,+96.276
471,-52.933,+145.783,+132.963
472,-42.322,+91.566,+114.471
473,-50.346,+89.246,+115.025
474,-37.697,+85.398,+125.163
475,-45.441,+90.568,+132.643
476,-48.838,+92.745,+132.051
477,-53.927,+95.243,+109.285
478,-58.975,+121.364,+111.928
479,-52.612,+96.191,+112.675
480,-49.978,+89.766,+122.976
481,-49.292,+88.687,+93.115
482,-34.646,+78.939,+119.757
483,-43.287,+91.266,+122.187
484,-37.658,+84.544,+114.712
485,-51.717,+95.054,+148.577
486,-47.664,+88.818,+136.846
487,-47.226,+93.335,+120.578
488,-42.022,+86.967,+141.230
489,-43.486,+89.852,+126.260
490,-53.117,+92.884,+115.885
491,-41.642,+84.840,+115.472
492,-41.124,+85.067,+129.706
493,-42.749,+87.446,+113.423
494,-49.021,+89.671,+115.970
495,-41.696,+92.079,+117.905
496,-35.060,+86.717,+122.374
497,-46.321,+89.766,+130.805
498,-49.932,+91.238,+125.292
499,-46.951,+92.103,+124.062
500,-37.839,+82.619,+118.747
501,-47.296,+94.795,+118.960
502,-29.957,+86.800,+121.458
503,-46.318,+94.299,+104.991
504,-45.382,+90.230,+124.605
505,-36.097,+88.118,+143.243
506,-44.328,+93.517,+145.984
507,-42.363,+89.356,+119.775
508,-41.410,+88.956,+135.815
509,-44.699,+89.642,+132.357
510,-46.849,+115.785,+150.262
511,-42.392,+92.898,+134.604
512,-43.291,+93.699,+116.715
513,-49.211,+91.268,+136.590
514,-38.463,+86.030,+114.255
515,-37.303,+86.136,+138.829
516,-55.996,+94.360,+123.422
517,-45.676,+97.371,+116.022
518,-47.949,+98.268,+104.980
519,-48.500,+89.075,+148.208
520,-65.852,+241.196,+136.604
521,-60.263,+96.895,+111.922
522,-45.615,+98.942,+125.813
523,-35.297,+84.066,+126.335
524,-42.133,+89.250,+124.610
525,-52.189,+113.916,+130.338
526,-42.979,+94.599,+128.892
527,-41.065,+91.566,+118.886
528,-48.155,+91.864,+131.621
529,-47.915,+99.332,+138.043
530,-47.462,+89.773,+121.778
531,-40.058,+91.738,+120.848
532,-50.342,+92.027,+109.232
533,-43.313,+95.287,+118.926
534,-48.546,+96.269,+107.597
535,-47.680,+97.875,+123.061
536,-44.514,+90.529,+114.885
537,-40.057,+91.093,+119.942
538,-49.514,+102.124,+132.720
539,-45.536,+90.667,+122.305
540,-46.336,+91.222,+131.654
541,-52.120,+93.357,+118.582
542,-47.632,+90.796,+110.717
543,-53.212,+98.184,+116.798
544,-48.532,+87.786,+135.440
545,-49.720,+91.407,+127.635
546,-42.908,+88.135,+139.587
547,-41.849,+84.499,+118.563
548,-45.864,+95.683,+149.757
549,-39.782,+88.362,+136.992
550,-46.501,+92.337,+121.085
551,-36.873,+89.305,+121.980
552,-49.115,+98.773,+129.213
553,-45.212,+93.134,+122.473
554,-39.811,+87.175,+134.914
555,-36.621,+88.465,+131.366
556,-44.232,+93.644,+128.269
557,-38.012,+92.918,+131.942
558,-42.273,+92.504,+131.303
559,-36.018,+86.696,+124.934
560,-46.882,+91.108,+123.927
561,-47.365,+90.146,+126.915
