Gen,MeanFit,StdFit,MaxFit
562,-47.794,+97.138,+138.789
563,-41.815,+89.298,+117.397
564,-41.104,+88.518,+136.460
565,-47.074,+90.796,+129.209
566,-44.716,+92.767,+110.926
567,-157.549,+1141.839,+133.066
568,-45.194,+92.704,+129.736
569,-39.079,+87.080,+130.864
570,-43.929,+87.757,+119.786
571,-35.972,+87.595,+118.355
572,-37.934,+87.179,+120.106
573,-46.850,+88.275,+142.687
574,-40.065,+91.720,+120.260
575,-52.280,+95.983,+122.123
576,-40.336,+87.541,+116.254
577,-42.261,+89.166,+113.243
578,-38.201,+91.282,+138.829
579,-50.337,+95.174,+130.758
580,-154.238,+1079.748,+118.835
581,-39.171,+85.255,+127.309
582,-36.959,+85.727,+117.096
583,-36.749,+89.956,+143.503
584,-36.116,+87.456,+126.381
585,-38.989,+90.677,+117.854
586,-35.933,+87.536,+132.405
587,-54.057,+108.324,+139.094
588,-47.448,+93.605,+124.688
589,-32.785,+87.059,+157.002
590,-37.409,+88.091,+130.786
591,-41.014,+92.225,+137.684
592,-43.670,+91.978,+137.950
593,-44.299,+93.763,+122.090
594,-34.946,+90.595,+136.298
595,-38.844,+97.735,+129.385
596,-41.165,+89.563,+135.428
597,-38.826,+93.068,+127.778
598,-36.033,+86.314,+113.363
599,-46.091,+92.714,+125.974
600,-49.494,+104.970,+147.810
601,-55.688,+144.571,+128.945
602,-53.898,+98.396,+112.729
603,-31.088,+83.040,+131.021
604,-33.375,+88.813,+129.312
605,-28.758,+88.258,+137.188
606,-51.792,+128.400,+125.911
607,-42.068,+104.648,+143.685
608,-43.892,+93.664,+143.696
609,-48.097,+97.298,+127.372
610,-45.796,+90.270,+134.513
611,-41.864,+97.982,+129.035
612,-45.900,+96.990,+140.423
613,-40.592,+93.541,+128.687
614,-33.739,+89.114,+132.051
615,-41.332,+94.123,+142.760
616,-31.890,+86.071,+133.232
617,-32.832,+89.604,+132.960
618,-57.182,+117.479,+151.482
619,-46.339,+92.820,+134.927
620,-44.380,+94.038,+136.723
621,-46.027,+93.995,+141.872
622,-38.858,+90.834,+117.893
623,-36.816,+91.086,+131.587
624,-47.450,+90.795,+135.822
625,-38.180,+90.269,+136.463
626,-56.962,+107.782,+132.348
627,-49.744,+96.309,+140.148
628,-42.241,+90.407,+124.766
629,-45.423,+93.583,+133.516
630,-51.990,+94.277,+127.272
631,-51.747,+102.731,+129.393
632,-40.537,+89.848,+139.628
633,-34.402,+91.194,+134.272
634,-36.027,+94.634,+137.718
635,-32.493,+89.074,+139.935
636,-41.890,+96.142,+128.810
637,-37.905,+86.447,+135.509
638,-52.554,+104.378,+133.743
639,-41.834,+95.995,+129.295
640,-33.874,+86.267,+124.897
641,-43.909,+99.737,+136.311
642,-46.247,+150.768,+134.112
643,-50.347,+99.304,+124.995
644,-50.059,+117.179,+128.781
645,-37.502,+92.193,+124.666
646,-37.461,+82.476,+136.959
647,-46.879,+91.904,+135.325
648,-43.941,+97.656,+156.923
649,-40.443,+89.407,+134.341
650,-33.672,+90.291,+133.580
651,-53.889,+101.619,+128.962
652,-44.320,+92.107,+121.276
653,-42.468,+97.829,+120.805
654,-24.739,+89.770,+139.587
655,-34.047,+91.378,+130.451
656,-49.751,+112.396,+140.090
657,-39.945,+93.779,+143.715
658,-43.825,+94.525,+144.070
659,-39.287,+95.552,+149.265
660,-34.282,+92.410,+141.042
661,-40.326,+97.661,+122.808
662,-54.557,+201.330,+133.458
663,-32.271,+93.252,+139.048
664,-42.652,+93.750,+135.422
665,-38.458,+98.421,+154.601
666,-38.902,+94.373,+139.994
667,-36.851,+95.823,+154.165
668,-36.967,+105.680,+148.623
669,-31.289,+91.573,+141.551
670,-46.387,+100.300,+142.871
671,-32.919,+104.834,+140.604
672,-39.457,+97.737,+133.433
673,-28.329,+94.288,+148.859
674,-47.223,+97.632,+140.968
675,-45.948,+102.927,+144.700
676,-36.502,+94.748,+141.999
677,-39.393,+92.836,+134.212
678,-40.408,+98.080,+138.335
679,-47.305,+102.004,+148.469
680,-38.775,+95.576,+146.432
681,-37.901,+92.398,+146.636
682,-41.069,+92.356,+140.381
683,-30.283,+92.479,+151.205
684,-30.701,+89.277,+143.489
685,-31.059,+89.210,+150.512
686,-44.030,+98.382,+129.485
687,-34.583,+91.939,+140.772
688,-39.225,+94.869,+140.831
689,-51.121,+102.838,+150.529
690,-38.286,+91.068,+157.333
691,-27.719,+87.472,+142.862
692,-35.239,+92.521,+143.206
693,-41.925,+94.140,+150.569
694,-37.342,+98.305,+139.017
695,-37.836,+90.477,+138.518
696,-31.296,+92.707,+145.590
697,-38.789,+96.743,+143.840
698,-42.216,+94.605,+142.061
699,-42.674,+93.694,+124.915
700,-44.095,+101.010,+142.142
701,-31.467,+92.623,+147.436
702,-46.794,+113.439,+143.227
703,-37.774,+97.463,+127.574
704,-45.630,+103.871,+139.776
705,-33.708,+92.285,+138.122
706,-42.941,+107.464,+136.322
707,-37.458,+92.902,+147.261
708,-39.258,+94.646,+138.059
709,-45.817,+96.944,+149.512
710,-41.287,+92.701,+144.719
711,-35.321,+89.163,+136.033
712,-33.997,+99.750,+133.634
713,-38.990,+101.144,+138.378
714,-41.776,+99.983,+120.032
715,-28.315,+94.031,+154.592
716,-40.772,+97.884,+155.600
717,-29.163,+92.916,+155.102
718,-36.415,+94.577,+157.178
719,-39.691,+93.897,+153.250
720,-33.473,+100.612,+144.629
721,-44.430,+104.286,+150.655
722,-40.921,+123.592,+157.284
723,-49.244,+114.569,+156.908
724,-33.800,+92.456,+148.162
725,-44.546,+102.112,+153.560
726,-41.706,+100.330,+157.983
727,-26.537,+91.854,+149.876
728,-28.865,+96.107,+152.781
729,-25.183,+98.036,+155.559
730,-34.402,+100.714,+150.249
731,-36.095,+94.530,+156.252
732,-31.188,+98.308,+155.754
733,-46.596,+103.036,+151.468
734,-33.588,+102.880,+155.551
735,-35.347,+95.802,+152.994
736,-35.055,+95.995,+150.379
737,-34.913,+95.081,+149.305
738,-37.415,+98.688,+150.147
739,-40.910,+98.097,+156.431
740,-41.340,+110.825,+153.535
741,-57.125,+128.848,+153.054
742,-40.622,+96.133,+154.113
743,-36.814,+96.177,+151.868
744,-37.469,+94.305,+155.472
745,-32.563,+95.403,+148.839
746,-38.886,+91.822,+156.058
747,-38.351,+93.540,+151.352
748,-48.563,+96.005,+152.238
749,-36.166,+99.923,+153.208
750,-37.523,+96.451,+152.085
751,-32.118,+100.220,+152.788
752,-38.636,+100.631,+156.027
753,-44.461,+108.785,+154.769
754,-32.044,+99.698,+163.712
755,-37.384,+98.705,+153.105
756,-25.791,+95.576,+150.498
757,-29.200,+103.488,+154.002
758,-29.124,+93.404,+146.397
759,-43.419,+110.435,+149.538
760,-40.533,+102.522,+148.911
761,-41.332,+104.622,+154.815
762,-33.320,+100.723,+153.287
763,-29.201,+98.214,+148.964
764,-34.199,+101.027,+158.233
765,-39.025,+99.014,+153.567
766,-41.640,+103.741,+147.940
767,-32.103,+99.993,+156.572
768,-32.206,+99.618,+145.100
769,-37.338,+100.547,+154.920
770,-30.005,+92.877,+149.130
771,-34.916,+103.438,+151.610
772,-44.968,+112.113,+149.766
773,-38.866,+95.972,+155.420
774,-36.114,+102.280,+149.894
775,-39.861,+99.393,+154.957
776,-40.290,+103.703,+150.343
777,-31.530,+94.428,+152.753
778,-41.354,+101.797,+151.946
779,-42.863,+97.572,+152.141
780,-41.453,+100.932,+148.866
781,-29.445,+99.632,+154.200
782,-29.867,+98.693,+149.515
783,-33.815,+95.382,+149.288
784,-46.933,+99.689,+158.673
785,-36.103,+100.922,+152.394
786,-36.504,+96.476,+153.184
787,-44.884,+105.260,+156.283
788,-41.744,+100.042,+151.291
789,-54.913,+121.858,+148.902
790,-36.354,+99.654,+148.844
791,-60.191,+182.929,+152.116
792,-43.673,+104.819,+161.971
793,-45.400,+112.361,+162.049
794,-37.031,+101.924,+149.789
795,-37.241,+99.249,+154.472
796,-20.889,+90.968,+157.380
797,-32.269,+95.329,+151.203
798,-31.649,+93.945,+156.476
799,-29.197,+96.875,+153.579
800,-34.598,+95.606,+152.933
801,-31.316,+97.736,+145.880
802,-36.630,+99.967,+156.256
803,-46.718,+162.573,+151.388
804,-30.897,+98.310,+157.167
805,-30.187,+94.318,+153.867
806,-36.098,+102.319,+153.770
807,-47.258,+115.581,+153.562
808,-38.627,+102.619,+155.718
809,-37.154,+98.030,+157.692
810,-34.798,+99.895,+154.442
811,-35.796,+98.161,+155.823
812,-34.603,+104.516,+154.059
813,-36.508,+99.346,+147.981
814,-46.281,+102.274,+147.436
815,-32.117,+94.202,+153.122
816,-32.354,+101.037,+152.899
817,-37.918,+105.590,+155.407
818,-39.269,+106.898,+160.172
819,-27.082,+93.768,+157.293
